date,articleNo,title,type,deposit,rent,area_m2,floor,address,realtor,postedYmd,updatedYmd,link
"20250810","2540744916","일반원룸","원룸","500","50","18.1","4/5","","굿데이부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2540744916"
"20250810","2542582805","일반원룸","원룸","500","50","18","2/3","","래미안복덕방부동산중개","","","https://m.land.naver.com/article/info/2542582805"
"20250810","2542515091","일반원룸","원룸","2,000","47","18.38","2/3","","홈즈공인중개사사무소","","","https://m.land.naver.com/article/info/2542515091"
"20250810","2542666235","일반원룸","원룸","500","58","18.18","B1/3","","홈즈공인중개사사무소","","","https://m.land.naver.com/article/info/2542666235"
"20250810","2540744511","일반원룸","원룸","500","50","18.1","3/5","","굿데이부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2540744511"
"20250810","2540894215","일반원룸","원룸","3,000","40","23.94","3/10","","오늘공인중개사사무소","","","https://m.land.naver.com/article/info/2540894215"
"20250810","2542425377","일반원룸","원룸","500","40","13.22","7/10","","감동공인중개사사무소","","","https://m.land.naver.com/article/info/2542425377"
"20250810","2542504154","일반원룸","원룸","500","40","17.52","5/10","","더리치공인중개사사무소","","","https://m.land.naver.com/article/info/2542504154"
"20250810","2542701846","일반원룸","원룸","1,000","60","17.4","6/10","","홈즈공인중개사사무소","","","https://m.land.naver.com/article/info/2542701846"
"20250810","2542606182","원룸형 아파트","원룸","8,800","10","13.6","9/15","","코끼리부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2542606182"
"20250810","2542423374","일반원룸","원룸","500","35","13.22","1/3","","감동공인중개사사무소","","","https://m.land.naver.com/article/info/2542423374"
"20250810","2542706915","일반원룸","원룸","1,000","55","31.92","8/8","","친구공인중개사사무소","","","https://m.land.naver.com/article/info/2542706915"
"20250810","2540658029","도시형생활주택","원룸","1,000","43","14.91","7/13","","코끼리부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2540658029"
"20250810","2540419746","도시형생활주택","원룸","1억 8,000","20","30.14","10/12","","청솔 공인중개사사무소","","","https://m.land.naver.com/article/info/2540419746"
"20250810","2542346172","기타","원룸","500","50","16","4/5","","코끼리부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2542346172"
"20250810","2542364535","기타","원룸","3,000","85","37.57","3/15","","코끼리부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2542364535"
"20250810","2541809230","일반원룸","원룸","30","50","15.26","12/15","","JY공인중개사사무소","","","https://m.land.naver.com/article/info/2541809230"
"20250810","2542276691","도시형생활주택","원룸","1억","20","18.6","3/12","","스타부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2542276691"
"20250810","2542291556","일반원룸","원룸","500","42","21.49","3/5","","더리치공인중개사사무소","","","https://m.land.naver.com/article/info/2542291556"
"20250810","2540398964","일반원룸","원룸","1,000","60","23.35","9/10","","다모아부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2540398964"
